date,permit_id,permit_type,project_name,address,parcel,source,risk_class,lat,lon,weather_risk,base_score,weather_multiplier,time_decay,composite_score,risk_tier
2026-02-23,GRD-CM26-013,Grading/Site Plan (Commercial/Apartments),Acton Academy Expansion,163 N 300 W,SG-519-A-1,grading,HIGH,37.1088441,-113.5897045,0,3.0,1.0,0.936986301369863,2.8109589041095893,Larvicide
2026-02-23,SUBMGRD-CM26-006,Grading/Site Plan (Commercial/Apartments),Scholzen Products Showroom,"710 North 1300  East  St.George UT, 84770",SG-IND-P-3,grading,HIGH,37.1196234,-113.5552634,0,3.0,1.0,0.936986301369863,2.8109589041095893,Larvicide
2026-02-23,26-0378,Single Family,Cecita Crest  136,2970 W Lesina Heights DR,SG-CCD-3-136,building,MEDIUM,,,0,2.0,1.0,0.936986301369863,1.873972602739726,Monitor
2026-02-23,26-0377,Retaining Wall - Rock or Segmental Block,Best Parts House,929 E Factory DR,SG-5-3-20-440,building,MEDIUM,37.0329055,-113.5663392,0,2.0,1.0,0.936986301369863,1.873972602739726,Monitor
2026-02-23,26-0379,Mechanical,272 W HUMMINGBIRD DR - HVAC,1272 W HUMMINGBIRD DR,SG-PDCN-3-150,building,LOW,,,0,1.0,1.0,0.936986301369863,0.936986301369863,Monitor
2026-02-23,26-0380,Mechanical,2293 E Panorama PKWY - HVAC,2293 E PANORAMA PKWY,SG-SACS-5-70,building,LOW,37.1210673,-113.5376137,0,1.0,1.0,0.936986301369863,0.936986301369863,Monitor
2026-02-20,26-0376,Single Family,Sage Haven 1507,6258 S Rock Rose DR,SG-SAH-15-1507,building,MEDIUM,,,0,2.0,1.0,0.9287671232876712,1.8575342465753424,Monitor
2026-02-20,26-0375,Plumbing,2356 E 130 N ST - Repipe,2356 E 130 N,SG-CA-4-82,building,LOW,37.1104913,-113.533431,0,1.0,1.0,0.9287671232876712,0.9287671232876712,Monitor
2026-02-19,26-0374,Carport,350 W MAN O WAR RD - Carport,350 W MAN O WAR RD,SG-BR-1-24,building,MEDIUM,37.0521793,-113.5945403,0,2.0,1.0,0.9260273972602739,1.8520547945205479,Monitor
2026-02-19,26-0369,"Commercial Gas, Elect, Mech, Plumb",FedEx Freight - Electrical,496 N 1300 E ST,SG-IND-P-15-A,building,MEDIUM,37.1176387,-113.5565424,0,2.0,1.0,0.9260273972602739,1.8520547945205479,Monitor
2026-02-19,26-0372,"Commercial Gas, Elect, Mech, Plumb",Goodsell Comercial Building A -  Electrical,1250 W Sunset BLVD UNIT A,SG-6-2-14-2003,building,MEDIUM,,,0,2.0,1.0,0.9260273972602739,1.8520547945205479,Monitor
2026-02-19,26-0373,Single Family,Salarno Hills 65,2739 W Lugano WAY,SG-SHD-2-65,building,MEDIUM,,,0,2.0,1.0,0.9260273972602739,1.8520547945205479,Monitor
2026-02-19,26-0371,Single Family,Valley View Heights 314,51 N 660 W ST,SG-VVH-3-314,building,MEDIUM,,,0,2.0,1.0,0.9260273972602739,1.8520547945205479,Monitor
2026-02-19,26-0370,Commercial (New Build),Red Rock Office Building,1111 W Black Mountain DR,SG-6-3-26-114 ,building,HIGH,,,0,3.0,1.0,0.9260273972602739,2.778082191780822,Larvicide
2026-02-19,PLANGRD-CM26-007,Grading/Site Plan (Commercial/Apartments),WMT 3320 Fuel Station,2610 Pioneer Road,SG-NBCS-1,grading,HIGH,37.0634233,-113.587355,0,3.0,1.0,0.9260273972602739,2.778082191780822,Larvicide
2026-02-19,GRD-CM26-012,Grading/Site Plan (Commercial/Apartments),HOLIDAY INN EXPRESS (LOT 9 RIM ROCK),170 S street/1470 E Street,SG-RRCC-9,grading,HIGH,,,0,3.0,1.0,0.9260273972602739,2.778082191780822,Larvicide
2026-02-18,GRD-R26-004,Grading/Site Plan (Residential),Bryce Gurr Residence,1800 N St, SG-6-2-10-2309,grading,HIGH,37.1392872,-113.6333599,0,3.0,1.0,0.9232876712328767,2.76986301369863,Larvicide
2026-02-18,26-0361,Public,Suntran Fleet Building - New Commercial Building,433 E Brigham RD,BLM,building,HIGH,37.0576158,-113.5771385,0,3.0,1.0,0.9232876712328767,2.76986301369863,Larvicide
2026-02-18,26-0363,Commercial (New Build),Chase Bank -SRC,4616 S Pioneer RD,TBD ( Lot #1),building,HIGH,,,0,3.0,1.0,0.9232876712328767,2.76986301369863,Larvicide
2026-02-18,26-0365,Single Family,DESERT REFLECTIONS 328 B,5882 S Delorian LN,SG-DREF-3-328,building,MEDIUM,,,0,2.0,1.0,0.9232876712328767,1.8465753424657534,Monitor
2026-02-18,26-0364,Single Family,DESERT REFLECTIONS 109,4291 E CARRERA WAY,SG-DREF-1-109,building,MEDIUM,,,0,2.0,1.0,0.9232876712328767,1.8465753424657534,Monitor
2026-02-18,26-0362,Plumbing,301 S 1200 E ST 103 - Repipe ,301 S 1200 E #103,SG-MS-103,building,LOW,37.103863,-113.557841,0,1.0,1.0,0.9232876712328767,0.9232876712328767,Monitor
2026-02-18,26-0366,Single Family,Southern View Lot 322,5848 S LANSKY DR,SG-SVPD-3-322,building,MEDIUM,,,0,2.0,1.0,0.9232876712328767,1.8465753424657534,Monitor
2026-02-18,26-0367,Single Family,White Hills 114,1346 E HONEYCOMB CT,SG-WHL-114,building,MEDIUM,,,0,2.0,1.0,0.9232876712328767,1.8465753424657534,Monitor
2026-02-18,26-0368,Mechanical,705 E 1100 S ST - HVAC,705 E 1100 S ST,SG-SSD-11,building,LOW,37.0895934,-113.5609325,0,1.0,1.0,0.9232876712328767,0.9232876712328767,Monitor
2026-02-17,26-0360,Single Family,CECITA CREST AT DIVARIO 156,2969 W Varese WAY,SG-CCD-3-156,building,MEDIUM,,,0,2.0,1.0,0.9205479452054794,1.841095890410959,Monitor
2026-02-17,26-0358,Addition,1291 S 2580 E ST - Addition,1291 S 2580 E ST,SG-DIAS-1-B,building,MEDIUM,37.0913068,-113.5313449,0,2.0,1.0,0.9205479452054794,1.841095890410959,Monitor
2026-02-17,26-0359,Single Family,Crescent Pointe 6,2240 W Sunbrook DR UNIT 6,SG-CPTS-6,building,MEDIUM,,,0,2.0,1.0,0.9205479452054794,1.841095890410959,Monitor
2026-02-16,26-0357,Pool,520 W Par 3 CIR - Pool,520 Par 3 CIR,SG-FWH-39-A-1,building,MEDIUM,37.0702391,-113.5943811,0,2.0,1.0,0.9178082191780822,1.8356164383561644,Monitor
2026-02-15,26-0356,Accessory Building,1992 E Honeycomb DR - Detached Garage,1992 E Honeycomb DR,SG-SECN-11-217,building,MEDIUM,,,0,2.0,1.0,0.915068493150685,1.83013698630137,Monitor
2026-02-13,26-0355,Gas Line,875 W Rio Virgin DR 126 - Gas Line,875 Rio Virgin Dr #126,SG-VIN-5-126,building,LOW,,,0,1.0,1.0,0.9095890410958904,0.9095890410958904,Monitor
2026-02-13,26-0350,Multi-Family (townhome),Sage Haven 14 Bldg X  1445,888 W Camello LN,SG-SAH-14-1445,building,MEDIUM,37.0020836,-113.6020311,0,2.0,1.0,0.9095890410958904,1.819178082191781,Monitor
2026-02-13,26-0351,Multi-Family (townhome),Sage Haven 14 Bldg X 1446,892 W Camello LN,SG-SAH-14-1446,building,MEDIUM,37.0020836,-113.6020311,0,2.0,1.0,0.9095890410958904,1.819178082191781,Monitor
2026-02-13,26-0352,Multi-Family (townhome),Sage Haven 14 Bldg X 1447,896 W Camello LN,SG-SAH-14-1447,building,MEDIUM,37.0020836,-113.6020311,0,2.0,1.0,0.9095890410958904,1.819178082191781,Monitor
2026-02-13,26-0353,Multi-Family (townhome),Sage Haven 14 Bldg X 1448,900 W Camello LN,SG-SAH-14-1448,building,MEDIUM,37.0020836,-113.6020311,0,2.0,1.0,0.9095890410958904,1.819178082191781,Monitor
2026-02-13,26-0354,Multi-Family (townhome),Sage Haven 14 Bldg X 1449,904 W Camello LN,SG-SAH-14-1449,building,MEDIUM,37.0020836,-113.6020311,0,2.0,1.0,0.9095890410958904,1.819178082191781,Monitor
2026-02-13,26-0347,Single Family,Fieldstone 115,2115 E Tawny Ridge DR,SG-FLDS-6B-115,building,MEDIUM,,,0,2.0,1.0,0.9095890410958904,1.819178082191781,Monitor
2026-02-13,26-0349,Single Family,Moorland Park 136,2671 E Rosedale DR,SG-MOO-8-136,building,MEDIUM,,,0,2.0,1.0,0.9095890410958904,1.819178082191781,Monitor
2026-02-13,26-0348,Single Family,Moorland Park 168,2655 E Rosedale DR,SG-MOO-8-168,building,MEDIUM,,,0,2.0,1.0,0.9095890410958904,1.819178082191781,Monitor
2026-02-13,PLANGRD-CM26-008,Grading/Site Plan (Commercial/Apartments),700 South Medical Office Building,75 W 700 S,"SG-1608-B, SG-1608-A-2-A-1, SG-1608-A-2-C-1",grading,HIGH,37.0962639,-113.566432,0,3.0,1.0,0.9095890410958904,2.728767123287671,Larvicide
2026-02-12,26-0313,Multi-Family (townhome),Viviano at Red Cliffs - 176 ,1083 S Quarb LN,SG-VIRC-9-PT-A,building,MEDIUM,,,0,2.0,1.0,0.9068493150684931,1.8136986301369862,Monitor
2026-02-12,26-0314,Multi-Family (townhome),Viviano at Red Cliffs 177,1087 S Quarb LN,SG-VIRC-9-PT-A,building,MEDIUM,,,0,2.0,1.0,0.9068493150684931,1.8136986301369862,Monitor
2026-02-12,26-0312,Multi-Family (townhome),Viviano at Red Cliffs 175 ,1079 S Quarb LN,SG-VIRC-9-PT-A,building,MEDIUM,,,0,2.0,1.0,0.9068493150684931,1.8136986301369862,Monitor
2026-02-12,26-0310,Repair,473 N 2360 E ST - ReRoof,473 N 2360 E ST,SG-SURE-2-27,building,MEDIUM,37.1165464,-113.5338082,0,2.0,1.0,0.9068493150684931,1.8136986301369862,Monitor
2026-02-12,26-0340,Multi-Family (townhome),Viviano at Red Cliffs - Shell  175-178 ,1079 - 1091 S QUARB LN,SG-VIRC-9-PT-A,building,MEDIUM,,,0,2.0,1.0,0.9068493150684931,1.8136986301369862,Monitor
2026-02-12,26-0318,Multi-Family (townhome),Viviano at Red Cliffs  181,1084 S Criollo LN,SG-VIRC-9-PT-A,building,MEDIUM,,,0,2.0,1.0,0.9068493150684931,1.8136986301369862,Monitor
2026-02-12,26-0317,Multi-Family (townhome),Viviano at Red Cliffs - 180 ,1088 S Criollo LN,SG-VIRC-9-PT-A,building,MEDIUM,,,0,2.0,1.0,0.9068493150684931,1.8136986301369862,Monitor
2026-02-12,26-0343,Single Family,DESERT TRAILS 120,5922 S White Rim CT,SG-DTR-1-120,building,MEDIUM,,,0,2.0,1.0,0.9068493150684931,1.8136986301369862,Monitor
2026-02-12,26-0315,Multi-Family (townhome),Viviano at Red Cliffs - 178,1091 S Quarb LN,SG-VIRC-9-PT-A,building,MEDIUM,,,0,2.0,1.0,0.9068493150684931,1.8136986301369862,Monitor
2026-02-12,26-0322,Mechanical,32 S 1250 W ST - HVAC,32 S 1250 W ST,SG-SSS-2-17,building,LOW,,,0,1.0,1.0,0.9068493150684931,0.9068493150684931,Monitor
2026-02-12,26-0336,Accessory Dwelling Unit (ADU),917 Fort Pierce - ADU,917 E Fort Pierce DR,SG-BLH-10-152,building,MEDIUM,37.074434,-113.5646674,0,2.0,1.0,0.9068493150684931,1.8136986301369862,Monitor
2026-02-12,26-0327,Mechanical,3131 S 3170 E ST - HVAC,3131 S 3170 E ST,SG-OAK-5-80,building,LOW,37.0551522,-113.518332,0,1.0,1.0,0.9068493150684931,0.9068493150684931,Monitor
2026-02-12,26-0335,Mechanical,1582 W Garnet Ridge - Mechanical,1582 W GARNET RIDGE DR,SG-SUR-36-1843,building,LOW,37.0204473,-113.6166698,0,1.0,1.0,0.9068493150684931,0.9068493150684931,Monitor
2026-02-12,26-0323,Mechanical,5017 S Mosaic DR - HVAC,5017 S MOSAIC DR,SG-SUR-21-1369,building,LOW,37.0224149,-113.6174824,0,1.0,1.0,0.9068493150684931,0.9068493150684931,Monitor
2026-02-12,26-0321,Mechanical,265 N Dixie DR 34 - HVAC,265 N DIXIE DR #34,SG-SFTH-2-34,building,LOW,,,0,1.0,1.0,0.9068493150684931,0.9068493150684931,Monitor
2026-02-12,26-0320,Mechanical,1410 W 625 N ST - HVAC,1410 W 625 N ST,SG-GS-3-23,building,LOW,,,0,1.0,1.0,0.9068493150684931,0.9068493150684931,Monitor
2026-02-12,26-0333,Mechanical,1055 E 900 S ST 13 - HVAC,1055 E 900 S ST UNIT 13,SG-SCMST-1-13,building,LOW,,,0,1.0,1.0,0.9068493150684931,0.9068493150684931,Monitor
2026-02-12,26-0339,Multi-Family (townhome),Viviano at Red Cliffs - Shell Permit 179-182 ,1080 - 1092 S Criollo LN,SG-VIRC-9-PT-A,building,MEDIUM,,,0,2.0,1.0,0.9068493150684931,1.8136986301369862,Monitor
2026-02-12,26-0331,Multi-Family (townhome),Viviano at Red Cliffs 173,1067 S Quarb LN,SG-VIRC-9-PT-A,building,MEDIUM,,,0,2.0,1.0,0.9068493150684931,1.8136986301369862,Monitor
2026-02-12,26-0344,Single Family,MAPLE MEADOWS 220,3503 E 2890 S ST,SG-MPMW-2-220,building,MEDIUM,37.0592021,-113.5143809,0,2.0,1.0,0.9068493150684931,1.8136986301369862,Monitor
2026-02-12,26-0337,Multi-Family (townhome),Viviano at Red Cliffs - Shell  153-156 ,1078 - 1090 S Quarb LN,SG-VIRC-8-PT-A,building,MEDIUM,,,0,2.0,1.0,0.9068493150684931,1.8136986301369862,Monitor
2026-02-12,26-0345,Multi-Family (townhome),Sage Haven 14 Bldg X SHELL 1445 - 1449,888 W Camello LN,SG-SAH-14-1445   -  1449,building,MEDIUM,37.0020836,-113.6020311,0,2.0,1.0,0.9068493150684931,1.8136986301369862,Monitor
2026-02-12,26-0341,Single Family,CECITA CREST AT DIVARIO 157,2970 W Varese WAY,SG-CCD-3-157,building,MEDIUM,,,0,2.0,1.0,0.9068493150684931,1.8136986301369862,Monitor
2026-02-12,26-0311,Single Family,CRIMSON VISTAS 205,3171 E 2080 S ST,SG-CRVI-2-205,building,MEDIUM,,,0,2.0,1.0,0.9068493150684931,1.8136986301369862,Monitor
2026-02-12,26-0338,Multi-Family (townhome),Viviano at Red Cliffs - Shell Permit 171-174 ,1059 - 1071 Quarb LN,SG-VIRC-9-PT-A,building,MEDIUM,,,0,2.0,1.0,0.9068493150684931,1.8136986301369862,Monitor
2026-02-12,26-0329,Multi-Family (townhome),Viviano at Red Cliffs  171 ,1059 S Quarb LN,SG-VIRC-9-PT-A,building,MEDIUM,,,0,2.0,1.0,0.9068493150684931,1.8136986301369862,Monitor
2026-02-12,26-0330,Multi-Family (townhome),Viviano at Red Cliffs - 172,1063 S Quarb LN,SG-VIRC-9-PT-A,building,MEDIUM,,,0,2.0,1.0,0.9068493150684931,1.8136986301369862,Monitor
2026-02-12,26-0332,Multi-Family (townhome),Viviano at Red Cliffs - 174,1071 S Quarb LN,SG-VIRC-9-PT-A,building,MEDIUM,,,0,2.0,1.0,0.9068493150684931,1.8136986301369862,Monitor
2026-02-12,26-0334,Addition,AMIEE SMITH,3012 W BOLSENA TRAIL,SG-CAD-3-38,building,MEDIUM,,,0,2.0,1.0,0.9068493150684931,1.8136986301369862,Monitor
2026-02-12,26-0324,Multi-Family (townhome),Viviano at Red Cliffs 153,1090 S QUARB LN,SG-VIRC-8-PT-A,building,MEDIUM,,,0,2.0,1.0,0.9068493150684931,1.8136986301369862,Monitor
2026-02-12,26-0326,Multi-Family (townhome),Viviano at Red Cliffs 155,1082 S QUARB LN,SG-VIRC-8-PT-A,building,MEDIUM,,,0,2.0,1.0,0.9068493150684931,1.8136986301369862,Monitor
2026-02-12,26-0328,Multi-Family (townhome),Viviano at Red Cliffs -156,1078 S QUARB LN,SG-VIRC-8-PT-A,building,MEDIUM,,,0,2.0,1.0,0.9068493150684931,1.8136986301369862,Monitor
2026-02-12,26-0316,Multi-Family (townhome),Viviano at Red Cliffs 179 ,1092 S Criollo LN,SG-VIRC-9-PT-A,building,MEDIUM,,,0,2.0,1.0,0.9068493150684931,1.8136986301369862,Monitor
2026-02-12,26-0319,Multi-Family (townhome),Viviano at Red Cliffs  182 ,1080 S Criollo LN,SG-VIRC-9-PT-A,building,MEDIUM,,,0,2.0,1.0,0.9068493150684931,1.8136986301369862,Monitor
2026-02-12,26-0342,Single Family,DESERT TALUS 119,5955 S Foothill Ridge DR,SG-DTAL-1-119,building,MEDIUM,,,0,2.0,1.0,0.9068493150684931,1.8136986301369862,Monitor
2026-02-12,26-0346,Electrical,1151 E Hubbard PL - Panel Replace,1151 E Hubbard PL,SG-BLH-9-113,building,LOW,37.0725257,-113.5589797,0,1.0,1.0,0.9068493150684931,0.9068493150684931,Monitor
2026-02-12,26-0325,Multi-Family (townhome),Viviano at Red Cliffs 154,1086 S QUARB LN,SG-VIRC-8-PT-A,building,MEDIUM,,,0,2.0,1.0,0.9068493150684931,1.8136986301369862,Monitor
2026-02-11,26-0305,Single Family,Viviano at Red Cliffs 197,1093 S CRIOLLO LN,SG-VIRC-10-PT-A,building,MEDIUM,,,0,2.0,1.0,0.904109589041096,1.808219178082192,Monitor
2026-02-11,26-0308,Plumbing,2669 E 3200 S ST - Repipe,2669 E 3200 S ST,SG-LVR-5,building,LOW,37.0541958,-113.5288691,0,1.0,1.0,0.904109589041096,0.904109589041096,Monitor
2026-02-11,26-0299,Generator,707 N 950 W ST - Generator,707 N 950 W ST,SG-RDW-4-63,building,MEDIUM,,,0,2.0,1.0,0.904109589041096,1.808219178082192,Monitor
2026-02-11,26-0300,Multi-Family (townhome),Viviano at Red Cliffs - Shell 183-186 ,1060 - 1068 Crillo LN,SG-VIRC-9-PT-A,building,MEDIUM,,,0,2.0,1.0,0.904109589041096,1.808219178082192,Monitor
2026-02-11,26-0296,Repair,1621 S Flatrock Rd - Windows/Stucco,1621 S Flatrock Rd,SG-BOU-2-48,building,MEDIUM,,,0,2.0,1.0,0.904109589041096,1.808219178082192,Monitor
2026-02-11,26-0307,Single Family,Viviano at Red Cliffs 199,1119 S CRIOLLO LN,SG-VIRC-10-PT-A,building,MEDIUM,,,0,2.0,1.0,0.904109589041096,1.808219178082192,Monitor
2026-02-11,26-0306,Single Family,Viviano at Red Cliffs 198,1103 S CRIOLLO LN,SG-VIRC-10-PT-A,building,MEDIUM,,,0,2.0,1.0,0.904109589041096,1.808219178082192,Monitor
2026-02-11,26-0309,Pool,6215 S Jakku LN - Pool,6215 S Jakku LN,SG-DTH-2-207,building,MEDIUM,37.0017519,-113.5219131,0,2.0,1.0,0.904109589041096,1.808219178082192,Monitor
2026-02-11,26-0304,Single Family,Viviano at Red Cliffs 196,1087 S CRIOLLO LN,SG-VIRC-10-PT-A,building,MEDIUM,,,0,2.0,1.0,0.904109589041096,1.808219178082192,Monitor
2026-02-11,26-0303,Single Family,Viviano at Red Cliffs 195,1081 S CRIOLLO LN,SG-VIRC-10-PT-A,building,MEDIUM,,,0,2.0,1.0,0.904109589041096,1.808219178082192,Monitor
2026-02-11,26-0301,Single Family,Viviano at Red Cliffs 194,1075 S CRIOLLO LN,SG-VIRC-10-PT-A,building,MEDIUM,,,0,2.0,1.0,0.904109589041096,1.808219178082192,Monitor
2026-02-11,26-0295,Single Family,SAGE HAVEN AT DESERT COLOR 630,491 W EMERALD POINT DR,SG-SAH-6-630,building,MEDIUM,,,0,2.0,1.0,0.904109589041096,1.808219178082192,Monitor
2026-02-11,26-0298,Single Family,SAGE HAVEN AT DESERT COLOR 830,6318 S Malachite CV,SG-SAH-8-830,building,MEDIUM,,,0,2.0,1.0,0.904109589041096,1.808219178082192,Monitor
2026-02-11,26-0302,Apartments,PA17 Ascesa Court Bld. #3,302 S Divario Canyon DR BLDG F,SG-ASD-1,building,MEDIUM,,,0,2.0,1.0,0.904109589041096,1.808219178082192,Monitor
2026-02-11,26-0297,Commercial Misc,*STOP WORK NOTICE* - WINGERS ,188 S RIVER RD,SG-1736-C,building,MEDIUM,37.1017898,-113.5556595,0,2.0,1.0,0.904109589041096,1.808219178082192,Monitor
2026-02-11,GRD-R26-002,Grading/Site Plan (Residential),Turnberry Estates,1880 S 3210 East,SG-5-3-3-138,grading,HIGH,37.0775007,-113.5177499,0,3.0,1.0,0.904109589041096,2.712328767123288,Larvicide
2026-02-11,PLANGRD-CM26-006,Grading/Site Plan (Commercial/Apartments),Dutch Bros at Desert Color Pre-Plat,TBD West end of Black Mountain Drive,SG-5-3-31-433-A-SLL,grading,HIGH,,,0,3.0,1.0,0.904109589041096,2.712328767123288,Larvicide
2026-02-11,PLANGRD-CM26-005,Grading/Site Plan (Commercial/Apartments),Millcreek Industrial Park Lot 13,3260 E. Deseret Dr.,SG-MIP-13B-2-MD,grading,HIGH,37.1167396,-113.5181654,0,3.0,1.0,0.904109589041096,2.712328767123288,Larvicide
2026-02-10,26-0293,Mechanical,1036 E McKinley WY - HVAC,1036 E MCKINLEY WAY,SG-BLH-9-34,building,LOW,37.0732508,-113.562249,0,1.0,1.0,0.9013698630136986,0.9013698630136986,Monitor
2026-02-10,26-0291,Public,RIVER ROAD AND COMMERCE DRIVE TRAFFIC SIGNAL,4137 S River Road,TBD,building,HIGH,,,0,3.0,1.0,0.9013698630136986,2.7041095890410958,Larvicide
2026-02-10,26-0292,Plumbing,2531 E 1240 S CIR - Water Heater,2531 E 1240 S CIR,SG-RHW-3-48,building,LOW,37.086988,-113.5320007,0,1.0,1.0,0.9013698630136986,0.9013698630136986,Monitor
2026-02-10,26-0289,Gas Line,1974 Rain Lilly Cir - Gas Line,1974 Rain Lilly Circle,SG-SUR-15-931,building,LOW,,,0,1.0,1.0,0.9013698630136986,0.9013698630136986,Monitor
2026-02-10,26-0287,Multi-Family (townhome),Viviano at Red Cliffs -  186 ,1060 S Criollo LN,SG-VIRC-9-PT-A,building,MEDIUM,,,0,2.0,1.0,0.9013698630136986,1.8027397260273972,Monitor
2026-02-10,26-0286,Multi-Family (townhome),Viviano at Red Cliffs 185,1064 S Criollo LN,SG-VIRC-9-PT-A,building,MEDIUM,,,0,2.0,1.0,0.9013698630136986,1.8027397260273972,Monitor
2026-02-10,26-0285,Multi-Family (townhome),Viviano at Red Cliffs - 184 ,1068 S Criollo LN,SG-VIRC-9-PT-A,building,MEDIUM,,,0,2.0,1.0,0.9013698630136986,1.8027397260273972,Monitor
2026-02-10,26-0288,Single Family,Sage Haven 919,516 E Cedar Hill DR,SG-SAH-9-919,building,MEDIUM,37.0008812,-113.5958991,0,2.0,1.0,0.9013698630136986,1.8027397260273972,Monitor
2026-02-10,26-0294,Remodel,723 N Northstar DR - Remodel,723 N Northstar DR,SG-SUP-3-100,building,MEDIUM,37.1181617,-113.6267233,0,2.0,1.0,0.9013698630136986,1.8027397260273972,Monitor
2026-02-10,26-0283,Solar,Brian Bone Solar Project,2414 E 3670 S ST,SG-RAVE-1-7,building,MEDIUM,37.0458672,-113.5341793,0,2.0,1.0,0.9013698630136986,1.8027397260273972,Monitor
2026-02-10,26-0284,Multi-Family (townhome),Viviano at Red Cliffs 183,1072 S Criollo LN,SG-VIRC-9-PT-A,building,MEDIUM,,,0,2.0,1.0,0.9013698630136986,1.8027397260273972,Monitor
2026-02-10,GRD-CM26-010,Grading/Site Plan (Commercial/Apartments),St. George Day Spa,1664 S Dixie Drive,SG-DCO-6,grading,HIGH,37.0754774,-113.5869454,0,3.0,1.0,0.9013698630136986,2.7041095890410958,Larvicide
2026-02-10,PLANGRD-R26-002,Grading/Site Plan (Residential),Anasazi Hills Phase 4,Anasazi Trail & Supai Trail,SG-6-2-10-314,grading,HIGH,,,0,3.0,1.0,0.9013698630136986,2.7041095890410958,Larvicide
2026-02-09,26-0282,Single Family,Tonaquint Ridge 412,2169 S CARABINER WAY,SG-TOR-4-412,building,MEDIUM,37.0706344,-113.6208048,0,2.0,1.0,0.8986301369863013,1.7972602739726027,Monitor
2026-02-09,26-0277,Commercial Re-Roof,St George Temple Apartments #2 - Reroof + Siding,"234 E 500 S, St. George, UT",,building,MEDIUM,37.0997152,-113.5858613,0,2.0,1.0,0.8986301369863013,1.7972602739726027,Monitor
2026-02-09,26-0280,Commercial Re-Roof,St George Temple Apartments #1 - Reroof + Siding,"234 E 500 S, St. George, UT",,building,MEDIUM,37.0997152,-113.5858613,0,2.0,1.0,0.8986301369863013,1.7972602739726027,Monitor
2026-02-09,26-0278,Plumbing,2359 S Apparation  CT - Plumbing,2359 Apparation Ct.,SG-BLH-10-57,building,LOW,37.0693213,-113.5658132,0,1.0,1.0,0.8986301369863013,0.8986301369863013,Monitor
2026-02-09,GRD-CM26-009,Grading/Site Plan (Commercial/Apartments),812 E Benchmark Dr - Fort Pierce Lot 218 ,Lot 218 Fort Pierce Business Park,SG-5-3-29-441,grading,HIGH,,,0,3.0,1.0,0.8986301369863013,2.695890410958904,Larvicide
2026-02-09,26-0281,Repair,706 N 2200 E ST - ReRoof,706 N 2200 E ST,SG-PP-C-13,building,MEDIUM,37.1208139,-113.5365984,0,2.0,1.0,0.8986301369863013,1.7972602739726027,Monitor
2026-02-09,26-0276,Commercial TI,255 S 100 W ST - TI,255 S 100 W ST,SG-48,building,MEDIUM,,,0,2.0,1.0,0.8986301369863013,1.7972602739726027,Monitor
2026-02-09,26-0279,Single Family,Crimson Vistas 410,3039 E 2170 S ST,SG-CRVI-4-410,building,MEDIUM,37.0713662,-113.5146129,0,2.0,1.0,0.8986301369863013,1.7972602739726027,Monitor
2026-02-06,26-0274,Pool,4782 N Limber Pine DR - Pool,4782 N Limber Pine DR,SG-FISH-4-61,building,MEDIUM,,,0,2.0,1.0,0.8904109589041096,1.7808219178082192,Monitor
2026-02-06,26-0275,Addition,634 E Concord WY - Addition,634 E Concord WY,SG-MP-10,building,MEDIUM,37.0940859,-113.5705071,0,2.0,1.0,0.8904109589041096,1.7808219178082192,Monitor
2026-02-05,26-0273,Commercial Remodel,SGP_ A40/A45 - VANILLA SHELL,801 S Bluff ST STE A45,SG-5-2-31-440,building,MEDIUM,,,0,2.0,1.0,0.8876712328767123,1.7753424657534247,Monitor
2026-02-05,26-0270,Commercial Remodel,SGP_ A60 - VANILLA SHELL,801 S Bluff ST STE A60,SG-5-2-31-440,building,MEDIUM,,,0,2.0,1.0,0.8876712328767123,1.7753424657534247,Monitor
2026-02-05,26-0271,Commercial Remodel,SGP_ A70 - VANILLA SHELL,801 S Bluff ST STE A70,SG-5-2-31-440,building,MEDIUM,,,0,2.0,1.0,0.8876712328767123,1.7753424657534247,Monitor
2026-02-05,26-0263,Mechanical,521 S ALBA DR - HVAC,521 S ALBA DR,SG-DVS-1-15,building,LOW,37.0992963,-113.6287471,0,1.0,1.0,0.8876712328767123,0.8876712328767123,Monitor
2026-02-05,26-0264 (C),Plumbing,298 S East Ridge Dr - Water Heater,298 S EAST RIDGE DR,SG-FORR-4-401,building,LOW,37.0447537,-113.5712082,0,1.0,1.0,0.8876712328767123,0.8876712328767123,Monitor
2026-02-05,26-0266,Accessory Building,1165 E 900 S ST - RV Garage/ADU,1165 E 900 S ST,SG-5-2-32-1443,building,MEDIUM,,,0,2.0,1.0,0.8876712328767123,1.7753424657534247,Monitor
2026-02-05,26-0269,Commercial Remodel,801 S Bluff St STE A85 - Vanilla Shell,801 S Bluff ST STE A85,SG-5-2-31-440,building,MEDIUM,,,0,2.0,1.0,0.8876712328767123,1.7753424657534247,Monitor
2026-02-05,26-0272,Commercial Remodel,SGP_ A80 - VANILLA SHELL,801 S Bluff ST STE A80,SG-5-2-31-440,building,MEDIUM,,,0,2.0,1.0,0.8876712328767123,1.7753424657534247,Monitor
2026-02-05,26-0267,Sign Permit,Panda Express - Southern Pkwy,1118 W BLACK MOUNTAIN DR,SG-DCP-1,building,LOW,,,0,1.0,1.0,0.8876712328767123,0.8876712328767123,Monitor
